,Date,Open,High,Low,Close*,Adj Close**,Volume
893,"Nov 08, 2019",449.78,449.78,441.27,446.13,446.13,"151,769,500"
894,"Nov 07, 2019",442.79,450.76,442.79,449.78,449.78,"178,498,800"
895,"Nov 06, 2019",453.17,453.17,441.66,442.79,442.79,"184,943,400"
896,"Nov 05, 2019",451.12,455.7,450.52,453.17,453.17,"204,378,200"
897,"Nov 04, 2019",437.36,452.16,437.36,451.12,451.12,"196,905,800"
898,"Nov 01, 2019",426.66,437.56,426.66,437.36,437.36,"160,356,200"
899,"Oct 31, 2019",428.68,428.68,422.9,426.66,426.66,"192,937,300"
900,"Oct 30, 2019",437.97,438.81,427.05,428.68,428.68,"169,599,200"
901,"Oct 29, 2019",436.14,441.45,432.99,437.97,437.97,"171,165,300"
902,"Oct 28, 2019",438.87,442.54,435.39,436.14,436.14,"149,012,300"
903,"Oct 25, 2019",435.5,439.83,434.7,438.87,438.87,"153,749,000"
904,"Oct 24, 2019",437.36,440.11,433.14,435.5,435.5,"145,363,200"
905,"Oct 23, 2019",434.1,438.1,431.33,437.36,437.36,"143,431,600"
906,"Oct 22, 2019",428.49,438.62,428.42,434.1,434.1,"91,457,200"
907,"Oct 21, 2019",420.67,428.64,420.67,428.49,428.49,"162,460,400"
908,"Oct 18, 2019",422.97,425.16,420.67,420.67,420.67,"186,014,500"
909,"Oct 17, 2019",422.81,425.83,421.82,422.97,422.97,"149,315,200"
910,"Oct 16, 2019",429.22,430.37,422.76,422.81,422.81,"144,574,500"
911,"Oct 15, 2019",427.54,433.38,426.05,429.22,429.22,"136,618,900"
912,"Oct 14, 2019",428.04,428.83,423.03,427.54,427.54,"134,091,100"
913,"Oct 11, 2019",422.11,431.42,422.11,428.04,428.04,"150,679,200"
914,"Oct 10, 2019",416.77,422.92,416.77,422.11,422.11,"133,870,200"
915,"Oct 09, 2019",412.37,418.75,412.37,416.77,416.77,"136,198,400"
916,"Oct 08, 2019",419.86,419.86,412.29,412.37,412.37,"161,919,100"
917,"Oct 07, 2019",423.76,425.93,419.84,419.86,419.86,"143,891,500"
918,"Oct 04, 2019",421.16,424.26,418.44,423.76,423.76,"125,005,300"
919,"Oct 03, 2019",415.93,421.26,410.74,421.16,421.16,"140,552,600"
920,"Oct 02, 2019",427.07,427.07,415.21,415.93,415.93,"168,602,500"
921,"Oct 01, 2019",437.13,440.28,427.0,427.07,427.07,"151,338,100"
922,"Sep 30, 2019",440.45,440.45,436.91,437.13,437.13,"136,349,800"
923,"Sep 27, 2019",440.45,443.75,437.43,440.45,440.45,"173,094,900"
924,"Sep 26, 2019",446.4,446.4,438.34,440.45,440.45,"151,645,600"
925,"Sep 25, 2019",445.38,446.82,442.73,446.4,446.4,"149,472,600"
926,"Sep 24, 2019",452.76,452.76,442.97,445.38,445.38,"167,026,800"
927,"Sep 23, 2019",452.25,453.81,449.03,452.76,452.76,"127,683,100"
928,"Sep 20, 2019",451.89,454.39,450.6,452.25,452.25,"233,867,000"
929,"Sep 19, 2019",453.64,457.03,451.08,451.89,451.89,"136,485,900"
930,"Sep 18, 2019",455.54,455.54,450.56,453.64,453.64,"151,875,500"
931,"Sep 17, 2019",462.55,462.55,452.83,455.54,455.54,"227,645,900"
932,"Sep 16, 2019",447.81,464.84,447.81,462.55,462.55,"360,595,100"
933,"Sep 13, 2019",444.25,449.52,444.25,447.81,447.81,"157,096,700"
934,"Sep 12, 2019",447.08,447.08,437.62,444.25,444.25,"217,267,500"
935,"Sep 11, 2019",446.98,452.28,444.4,447.08,447.08,"175,131,500"
936,"Sep 10, 2019",441.27,452.69,441.27,446.98,446.98,"196,677,100"
937,"Sep 09, 2019",433.24,442.32,433.24,441.27,441.27,"174,180,400"
938,"Sep 06, 2019",431.01,433.52,427.6,433.24,433.24,"142,059,400"
939,"Sep 05, 2019",425.6,435.23,425.6,431.01,431.01,"159,312,400"
940,"Sep 04, 2019",419.76,427.08,419.76,425.6,425.6,"126,202,500"
941,"Sep 03, 2019",422.09,422.09,413.63,419.76,419.76,"148,136,800"
942,"Aug 30, 2019",421.74,426.99,419.31,422.09,422.09,"138,505,200"
943,"Aug 29, 2019",415.71,423.4,415.71,421.74,421.74,"139,362,100"
944,"Aug 28, 2019",409.96,417.55,409.96,415.71,415.71,"136,973,500"
945,"Aug 27, 2019",412.53,416.45,407.81,409.96,409.96,-
946,"Aug 26, 2019",410.68,416.16,410.68,412.53,412.53,-
947,"Aug 23, 2019",425.02,425.02,408.5,410.68,410.68,-
948,"Aug 22, 2019",427.08,429.95,424.82,425.02,425.02,-
949,"Aug 21, 2019",423.89,429.38,423.89,427.08,427.08,-
950,"Aug 20, 2019",428.01,428.01,422.6,423.89,423.89,-
951,"Aug 19, 2019",419.03,429.29,419.03,428.01,428.01,-
952,"Aug 16, 2019",414.12,419.96,414.12,419.03,419.03,-
953,"Aug 15, 2019",414.32,415.68,409.73,414.12,414.12,"179,759,400"
954,"Aug 14, 2019",424.98,425.53,416.27,416.27,416.27,"203,261,200"
955,"Aug 13, 2019",429.65,437.69,425.78,434.15,434.15,"182,001,800"
956,"Aug 12, 2019",434.41,434.41,427.94,429.73,429.73,"106,322,700"
957,"Aug 09, 2019",441.17,442.46,434.54,435.96,435.96,"141,903,500"
958,"Aug 08, 2019",431.21,441.6,430.18,441.49,441.49,"254,554,900"
959,"Aug 07, 2019",424.73,431.18,422.48,429.08,429.08,"241,899,500"
960,"Aug 06, 2019",433.59,436.35,427.85,432.35,432.35,"197,748,400"
961,"Aug 05, 2019",439.89,439.89,429.63,432.63,432.63,"222,423,300"
962,"Aug 02, 2019",453.34,457.04,441.57,445.85,445.85,"209,154,500"
963,"Aug 01, 2019",456.19,460.21,449.88,451.93,451.93,"264,287,200"
964,"Jul 31, 2019",464.95,468.63,459.55,462.47,462.47,"205,434,500"
965,"Jul 30, 2019",457.95,465.9,457.1,464.95,464.95,"174,490,800"
966,"Jul 29, 2019",461.31,461.39,456.61,459.92,459.92,"152,727,800"
967,"Jul 26, 2019",463.15,463.91,459.74,461.46,461.46,"159,199,900"
968,"Jul 25, 2019",470.81,471.08,462.58,463.77,463.77,"140,298,900"
969,"Jul 24, 2019",467.19,472.22,466.12,469.21,469.21,"131,230,600"
970,"Jul 23, 2019",466.3,468.5,464.58,467.32,467.32,"134,298,400"
971,"Jul 22, 2019",464.88,467.38,462.26,466.07,466.07,"137,954,000"
972,"Jul 19, 2019",466.98,478.27,457.1,464.01,464.01,"149,238,900"
973,"Jul 18, 2019",460.2,462.03,457.1,461.75,461.75,"171,891,100"
974,"Jul 17, 2019",467.02,468.18,461.79,461.79,461.79,"149,712,200"
975,"Jul 16, 2019",471.67,472.03,465.47,467.15,467.15,"153,065,400"
976,"Jul 15, 2019",466.98,478.27,463.69,472.47,472.47,"132,018,500"
977,"Jul 12, 2019",466.98,478.27,463.69,476.89,476.89,"115,799,000"
978,"Jul 11, 2019",475.13,475.13,475.13,475.13,475.13,"124,586,100"
979,"Jul 10, 2019",474.26,474.26,474.26,474.26,474.26,"138,809,800"
980,"Jul 09, 2019",466.98,468.16,463.69,467.7,467.7,"133,127,000"
981,"Jul 08, 2019",466.84,469.93,464.81,467.3,467.3,"134,744,100"
982,"Jul 05, 2019",465.36,467.06,463.36,466.84,466.84,"108,071,500"
983,"Jul 03, 2019",463.54,463.54,463.54,463.54,463.54,"82,408,100"
984,"Jul 02, 2019",463.54,463.54,463.54,463.54,463.54,"178,358,300"
985,"Jul 01, 2019",471.74,471.74,471.74,471.74,471.74,"151,863,100"
986,"Jun 28, 2019",471.28,471.28,471.28,471.28,471.28,"203,939,800"
987,"Jun 27, 2019",469.46,470.53,464.99,465.73,465.73,"129,502,100"
988,"Jun 26, 2019",462.36,472.9,462.36,469.46,469.46,"162,710,200"
989,"Jun 25, 2019",466.21,466.21,462.0,462.36,462.36,"136,140,300"
990,"Jun 24, 2019",470.57,471.48,465.6,466.21,466.21,"139,242,700"
991,"Jun 21, 2019",466.74,472.01,466.74,470.57,470.57,"240,825,000"
992,"Jun 20, 2019",456.65,467.75,456.65,466.74,466.74,"191,282,100"
993,"Jun 19, 2019",457.67,459.52,454.58,456.65,456.65,"148,674,600"
994,"Jun 18, 2019",451.55,460.28,451.55,457.67,457.67,"160,733,500"
995,"Jun 17, 2019",447.48,452.6,445.26,451.55,451.55,"135,399,800"
996,"Jun 14, 2019",450.81,451.05,446.63,447.48,447.48,-
997,"Jun 13, 2019",445.26,452.67,445.26,450.81,450.81,-
998,"Jun 12, 2019",451.75,451.75,444.01,445.26,445.26,-
999,"Jun 11, 2019",451.19,456.3,451.19,451.75,451.75,-
1000,"Jun 10, 2019",449.69,454.85,449.69,451.19,451.19,-
1001,"Jun 07, 2019",447.85,452.3,447.85,449.69,449.69,-
1002,"Jun 06, 2019",440.25,449.31,440.25,447.85,447.85,-
1003,"Jun 05, 2019",445.06,445.85,437.17,440.25,440.25,-
1004,"Jun 04, 2019",438.01,445.52,438.01,445.06,445.06,-
1005,"Jun 03, 2019",432.13,439.18,432.13,438.01,438.01,-
1006,"May 31, 2019",439.19,439.19,431.64,432.1,432.1,-
1007,"May 30, 2019",444.45,444.59,437.84,439.19,439.19,-
1008,"May 29, 2019",447.24,447.24,438.85,444.45,444.45,-
1009,"May 28, 2019",452.22,453.5,446.95,447.24,447.24,-
1010,"May 24, 2019",451.53,456.11,448.64,452.22,452.22,-
1011,"May 23, 2019",466.1,466.1,448.11,451.53,451.53,-
1012,"May 22, 2019",473.58,473.58,464.89,466.1,466.1,-
1013,"May 21, 2019",468.55,474.84,468.55,473.58,473.58,-
1014,"May 20, 2019",468.23,470.5,467.37,468.55,468.55,-
1015,"May 17, 2019",473.19,473.19,467.61,468.23,468.23,-
1016,"May 16, 2019",471.42,474.71,471.42,473.19,473.19,-
1017,"May 15, 2019",469.26,472.46,465.1,471.42,471.42,-
1018,"May 14, 2019",464.19,473.11,464.19,469.26,469.26,-
1019,"May 13, 2019",471.66,471.66,461.65,464.19,464.19,-
1020,"May 10, 2019",471.27,472.94,463.02,471.66,471.66,-
1021,"May 09, 2019",470.95,472.76,465.03,471.27,471.27,-
1022,"May 08, 2019",471.23,474.76,470.14,470.95,470.95,-
1023,"May 07, 2019",474.19,474.19,465.21,471.23,471.23,-
1024,"May 06, 2019",474.5,476.74,470.75,474.19,474.19,-
1025,"May 03, 2019",470.54,478.57,470.54,474.5,474.5,-
1026,"May 02, 2019",478.74,478.84,470.51,470.54,470.54,-
1027,"May 01, 2019",489.38,490.31,478.73,478.74,478.74,-
1028,"Apr 30, 2019",489.24,493.87,488.24,489.38,489.38,-
1029,"Apr 29, 2019",490.47,491.62,488.13,489.24,489.24,-
1030,"Apr 26, 2019",496.5,496.5,485.54,490.47,490.47,-
1031,"Apr 25, 2019",497.89,500.69,495.39,496.5,496.5,-
1032,"Apr 24, 2019",507.26,507.48,497.78,497.89,497.89,-
1033,"Apr 23, 2019",507.08,509.02,503.68,507.26,507.26,-
1034,"Apr 22, 2019",496.88,507.96,496.88,507.08,507.08,-
1035,"Apr 18, 2019",499.51,501.63,495.95,496.88,496.88,-
1036,"Apr 17, 2019",499.94,503.9,498.82,499.51,499.51,-
1037,"Apr 16, 2019",496.76,500.68,496.76,499.94,499.94,-
1038,"Apr 15, 2019",499.6,500.14,495.88,496.76,496.76,-
1039,"Apr 12, 2019",498.68,504.08,498.4,499.6,499.6,-
1040,"Apr 11, 2019",498.51,501.98,494.89,498.68,498.68,-
1041,"Apr 10, 2019",496.42,500.52,496.42,498.51,498.51,-
1042,"Apr 09, 2019",502.9,502.9,495.23,496.42,496.42,-
1043,"Apr 08, 2019",500.45,505.13,500.45,502.9,502.9,-
1044,"Apr 05, 2019",492.11,500.99,492.11,500.45,500.45,-
1045,"Apr 04, 2019",487.93,492.4,486.05,492.11,492.11,-
1046,"Apr 03, 2019",492.66,494.92,486.19,487.93,487.93,-
1047,"Apr 02, 2019",496.14,497.6,491.42,492.66,492.66,-
1048,"Apr 01, 2019",489.45,496.86,489.45,496.14,496.14,-
1049,"Mar 29, 2019",490.21,495.95,487.87,489.45,489.45,-
1050,"Mar 28, 2019",488.39,490.64,485.96,490.21,490.21,-
1051,"Mar 27, 2019",491.84,493.44,484.6,488.39,488.39,-
1052,"Mar 26, 2019",484.83,494.86,484.83,491.84,491.84,-
1053,"Mar 25, 2019",484.86,485.66,480.53,484.83,484.83,-
1054,"Mar 22, 2019",497.92,497.92,483.08,484.86,484.86,-
1055,"Mar 21, 2019",494.51,498.77,492.26,497.92,497.92,-
1056,"Mar 20, 2019",490.15,498.87,488.51,494.51,494.51,-
1057,"Mar 19, 2019",491.57,496.64,488.46,490.15,490.15,-
1058,"Mar 18, 2019",484.84,492.45,484.84,491.57,491.57,-
1059,"Mar 15, 2019",485.24,486.46,483.75,484.84,484.84,-
1060,"Mar 14, 2019",484.96,487.71,484.77,485.24,485.24,-
1061,"Mar 13, 2019",479.75,485.12,479.75,484.96,484.96,-
1062,"Mar 12, 2019",476.99,482.46,476.99,476.99,476.99,-
1063,"Mar 11, 2019",469.77,478.19,469.77,476.99,476.99,-
1064,"Mar 08, 2019",479.13,479.13,465.5,469.77,469.77,-
1065,"Mar 07, 2019",481.88,482.28,477.15,479.13,479.13,-
1066,"Mar 06, 2019",488.11,488.11,479.28,481.88,481.88,-
1067,"Mar 05, 2019",489.64,489.83,484.71,488.11,488.11,-
1068,"Mar 04, 2019",488.65,491.6,482.26,489.64,489.64,-
1069,"Mar 01, 2019",479.94,488.68,479.94,488.65,488.65,-
1070,"Feb 28, 2019",484.65,485.09,477.02,479.94,479.94,-
1071,"Feb 27, 2019",482.79,489.57,482.41,484.65,484.65,-
1072,"Feb 26, 2019",484.13,486.97,482.59,482.79,482.79,-
1073,"Feb 25, 2019",483.41,485.74,482.61,484.13,484.13,-
1074,"Feb 22, 2019",481.81,486.92,480.87,483.41,483.41,-
1075,"Feb 21, 2019",489.38,489.38,480.14,481.81,481.81,-
1076,"Feb 20, 2019",487.3,491.75,486.91,489.38,489.38,-
1077,"Feb 19, 2019",485.89,489.17,482.66,487.3,487.3,-
1078,"Feb 15, 2019",478.3,486.05,478.3,485.89,485.89,-
1079,"Feb 14, 2019",477.57,481.62,474.09,478.3,478.3,-
1080,"Feb 13, 2019",471.49,481.15,471.49,477.57,477.57,-
1081,"Feb 12, 2019",465.97,474.11,465.97,471.49,471.49,-
1082,"Feb 11, 2019",463.84,466.63,460.32,465.97,465.97,-
1083,"Feb 08, 2019",467.21,467.21,455.85,463.84,463.84,-
1084,"Feb 07, 2019",477.37,477.37,462.95,467.21,467.21,-
1085,"Feb 06, 2019",481.05,481.05,477.2,477.37,477.37,-
1086,"Feb 05, 2019",480.26,481.83,478.43,481.05,481.05,-
1087,"Feb 04, 2019",479.44,480.28,472.59,480.26,480.26,-
1088,"Feb 01, 2019",470.81,482.07,470.81,479.44,479.44,-
1089,"Jan 31, 2019",467.49,472.73,467.22,470.81,470.81,-
1090,"Jan 30, 2019",461.36,469.12,461.36,467.49,467.49,-
1091,"Jan 29, 2019",459.9,464.58,459.9,461.36,461.36,-
1092,"Jan 28, 2019",464.69,464.69,454.95,459.9,459.9,-
1093,"Jan 25, 2019",459.26,467.41,459.26,464.69,464.69,-
1094,"Jan 24, 2019",456.54,462.85,453.83,459.26,459.26,-
1095,"Jan 23, 2019",461.15,463.42,452.97,456.54,456.54,-
1096,"Jan 22, 2019",471.53,471.53,460.15,461.15,461.15,-
1097,"Jan 18, 2019",462.58,472.83,462.58,471.53,471.53,-
1098,"Jan 17, 2019",458.1,464.21,453.57,462.58,462.58,-
1099,"Jan 16, 2019",458.8,461.87,456.68,458.1,458.1,-
1100,"Jan 15, 2019",457.43,463.0,456.5,458.8,458.8,-
1101,"Jan 14, 2019",458.28,458.91,453.54,457.43,457.43,-
1102,"Jan 11, 2019",461.17,461.17,454.16,458.28,458.28,-
1103,"Jan 10, 2019",459.67,461.46,453.9,461.17,461.17,-
1104,"Jan 09, 2019",452.87,461.22,452.87,459.67,459.67,-
