Date,Price,Open,High,Low,Vol.,Change %
04/18/2018,191.41,192.01,192.54,191.37,,-0.21%
04/17/2018,191.82,189.89,192.93,189.17,,1.33%
04/16/2018,189.3,189.04,190.07,188.12,,0.42%
04/13/2018,188.51,187.97,188.76,187.3,,0.52%
04/12/2018,187.54,190.22,190.27,187.05,,-1.15%
04/11/2018,189.72,188.69,191.5,188.62,,0.20%
04/10/2018,189.34,191.66,191.85,188.6,,-0.71%
04/09/2018,190.7,191.19,192.31,190.35,,-0.07%
04/06/2018,190.83,192.22,193.6,190.33,,-0.94%
04/05/2018,192.65,192.58,192.87,191.15,,0.06%
04/04/2018,192.54,189.28,192.94,188.93,,1.22%
04/03/2018,190.22,189.79,190.96,188.62,,0.32%
04/02/2018,189.62,192.13,192.62,188.37,,-1.27%
03/29/2018,192.05,192.37,192.99,191.36,,-0.11%
03/28/2018,192.26,189.5,192.9,189.5,,1.77%
03/27/2018,188.92,188.5,191.56,186.94,,0.14%
03/26/2018,188.65,187.51,188.91,186.52,,1.36%
03/23/2018,186.12,189.22,189.81,185.66,,-1.56%
03/22/2018,189.06,189.03,191.96,188.97,,-0.38%
03/21/2018,189.78,191.62,191.79,188.99,,-0.92%
03/20/2018,191.55,191.83,192.91,190.82,,-0.06%
03/19/2018,191.67,193.31,193.31,190.56,,-0.95%
03/16/2018,193.51,192.59,193.78,191.87,,0.52%
03/15/2018,192.5,192.75,193.22,191.66,,-0.10%
03/14/2018,192.69,192.58,193.11,191.89,,0.10%
03/13/2018,192.5,192.35,193.4,191.71,,0.26%
03/12/2018,192.0,191.08,192.44,190.89,,0.49%
03/09/2018,191.07,190.09,191.07,189.05,,0.71%
03/08/2018,189.72,188.71,189.81,188.13,,0.64%
03/07/2018,188.51,186.85,188.74,186.81,,0.52%
03/06/2018,187.53,186.96,188.12,185.74,,0.39%
03/05/2018,186.8,183.47,187.43,183.35,,1.36%
03/02/2018,184.29,184.38,184.57,182.7,,-0.35%
03/01/2018,184.94,185.37,187.67,184.26,,-0.56%
02/28/2018,185.98,187.15,188.6,185.89,,-0.10%
02/27/2018,186.17,189.97,190.19,186.12,,-2.15%
02/26/2018,190.26,189.81,190.27,188.91,,0.44%
02/23/2018,189.43,186.8,189.43,186.53,,1.72%
02/22/2018,186.22,184.77,187.71,184.77,,1.14%
02/21/2018,184.12,187.29,188.08,184.1,,-1.81%
02/20/2018,187.51,188.72,190.48,187.41,,-1.02%
02/16/2018,189.44,188.11,190.23,188.11,,0.65%
02/15/2018,188.21,186.53,188.49,185.86,,0.92%
02/14/2018,186.49,186.01,186.7,183.76,,-0.63%
02/13/2018,187.68,186.11,188.3,185.28,,0.55%
02/12/2018,186.66,187.11,187.25,182.07,,0.25%
02/09/2018,186.19,182.72,187.53,180.54,,2.40%
02/08/2018,181.83,187.61,189.11,181.82,,-3.14%
02/07/2018,187.72,188.11,191.06,187.63,,-0.46%
02/06/2018,188.58,186.48,189.71,184.57,,-0.15%
02/05/2018,188.87,193.4,195.42,188.75,,-2.73%
02/02/2018,194.17,194.43,195.69,192.82,,-1.03%
02/01/2018,196.19,199.66,200.56,195.91,,-1.86%
01/31/2018,199.9,195.81,199.93,195.79,,2.08%
01/30/2018,195.82,196.09,196.5,195.26,,-0.46%
01/29/2018,196.73,198.88,198.88,196.55,,-1.17%
01/26/2018,199.06,198.83,199.06,197.52,,0.30%
01/25/2018,198.46,198.92,198.99,197.28,,-0.17%
01/24/2018,198.8,199.36,199.6,198.12,,-0.32%
01/23/2018,199.44,197.02,199.45,197.02,,1.48%
