,Open,High,Low,Close*,Adj Close**,Volume,Date1,Difference
528,355.42,360.25,353.97,358.74,358.74,"151,398,100",2021-04-23,3.319999999999993
529,360.5,361.13,354.69,355.42,355.42,"192,191,300",2021-04-22,-5.079999999999984
530,355.26,361.14,349.33,360.5,360.5,"178,191,000",2021-04-21,5.240000000000009
531,364.98,364.98,351.83,355.26,355.26,"195,961,800",2021-04-20,-9.720000000000027
532,365.19,368.8,361.58,364.98,364.98,"145,354,000",2021-04-19,-0.20999999999997954
533,368.5,371.96,364.07,365.19,365.19,"155,437,300",2021-04-16,-3.3100000000000023
534,371.78,371.78,367.04,368.5,368.5,"157,173,000",2021-04-15,-3.2799999999999727
535,361.26,376.4,361.26,371.78,371.78,"212,120,800",2021-04-14,10.519999999999982
536,360.91,363.37,357.94,361.26,361.26,"144,504,500",2021-04-13,0.3499999999999659
537,364.35,369.59,359.86,360.91,360.91,"153,869,200",2021-04-12,-3.4399999999999977
538,366.17,369.25,362.24,364.35,364.35,"150,748,200",2021-04-09,-1.8199999999999932
539,371.23,371.23,362.16,366.17,366.17,"174,878,300",2021-04-08,-5.060000000000002
540,369.6,372.77,368.63,371.23,371.23,"156,739,200",2021-04-07,1.6299999999999955
541,370.57,377.47,369.24,369.6,369.6,"171,649,900",2021-04-06,-0.9699999999999704
542,379.71,379.71,368.6,370.57,370.57,"202,558,900",2021-04-05,-9.139999999999986
543,369.89,379.77,369.89,379.71,379.71,"234,665,100",2021-04-01,9.819999999999993
544,373.35,373.82,369.07,369.89,369.89,"171,447,700",2021-03-31,-3.4600000000000364
545,376.37,377.0,370.42,373.35,373.35,"145,539,100",2021-03-30,-3.019999999999982
546,381.18,381.18,371.93,376.37,376.37,"161,767,800",2021-03-29,-4.810000000000002
547,371.44,381.49,371.44,381.18,381.18,"198,265,100",2021-03-26,9.740000000000009
548,370.51,372.77,358.47,371.44,371.44,"210,716,700",2021-03-25,0.9300000000000068
549,361.4,375.29,361.4,370.51,370.51,"205,058,500",2021-03-24,9.110000000000014
550,366.39,369.3,356.95,361.4,361.4,"250,453,500",2021-03-23,-4.990000000000009
551,370.11,370.63,365.91,366.39,366.39,"195,187,700",2021-03-22,-3.7200000000000273
552,370.06,376.16,365.24,370.11,370.11,"416,271,800",2021-03-19,0.05000000000001137
553,388.23,388.23,368.64,370.06,370.06,"253,760,200",2021-03-18,-18.170000000000016
554,384.62,389.49,380.45,388.23,388.23,"197,699,400",2021-03-17,3.6100000000000136
555,395.81,395.81,382.39,384.62,384.62,"210,838,600",2021-03-16,-11.189999999999998
556,400.82,400.82,391.28,395.81,395.81,"183,549,700",2021-03-15,-5.009999999999991
557,400.11,404.35,397.84,400.82,400.82,"167,833,600",2021-03-12,0.7099999999999795
558,399.8,406.81,399.28,400.11,400.11,"197,125,500",2021-03-11,0.3100000000000023
559,389.54,401.39,389.01,399.8,399.8,"244,237,000",2021-03-10,10.259999999999991
560,397.13,400.56,387.92,389.54,389.54,"254,578,900",2021-03-09,-7.589999999999975
561,396.54,402.05,391.35,397.13,397.13,"271,773,900",2021-03-08,0.589999999999975
562,381.76,397.18,381.76,396.54,396.54,"370,572,700",2021-03-05,14.78000000000003
563,372.55,388.64,372.55,381.76,381.76,"354,854,100",2021-03-04,9.20999999999998
564,367.31,381.19,367.31,372.55,372.55,"232,791,000",2021-03-03,5.240000000000009
565,369.47,373.58,367.12,367.31,367.31,"191,627,600",2021-03-02,-2.160000000000025
566,360.19,374.61,360.19,369.47,369.47,"215,602,900",2021-03-01,9.28000000000003
567,368.66,368.66,349.88,360.19,360.19,"279,359,300",2021-02-26,-8.470000000000027
568,376.2,379.3,366.33,368.66,368.66,"256,195,800",2021-02-25,-7.539999999999964
569,362.97,378.11,362.47,376.2,376.2,"290,329,700",2021-02-24,13.229999999999961
570,357.22,364.2,348.27,362.97,362.97,"270,514,900",2021-02-23,5.75
571,345.23,362.24,345.23,357.22,357.22,"261,982,800",2021-02-22,11.990000000000009
572,339.66,346.43,339.61,345.23,345.23,"170,764,600",2021-02-19,5.569999999999993
573,347.55,347.55,338.81,339.66,339.66,"174,767,800",2021-02-18,-7.889999999999986
574,342.57,349.68,341.02,347.55,347.55,"186,941,300",2021-02-17,4.980000000000018
575,334.99,346.17,334.99,342.57,342.57,"223,997,500",2021-02-16,7.579999999999984
576,330.36,335.38,327.33,334.99,334.99,"161,381,000",2021-02-12,4.6299999999999955
577,335.48,335.48,323.34,330.36,330.36,"314,305,400",2021-02-11,-5.1200000000000045
578,329.41,335.9,328.52,335.48,335.48,"226,895,500",2021-02-10,6.069999999999993
579,334.5,334.5,325.28,329.41,329.41,"225,524,500",2021-02-09,-5.089999999999975
580,321.1,336.1,321.1,334.5,334.5,"258,475,500",2021-02-08,13.399999999999977
581,318.16,324.33,318.16,321.1,321.1,"210,328,700",2021-02-05,2.9399999999999977
582,314.75,318.25,311.48,318.16,318.16,"186,578,300",2021-02-04,3.410000000000025
583,301.85,315.49,301.85,314.75,314.75,"213,853,100",2021-02-03,12.899999999999977
584,298.59,309.0,298.59,301.85,301.85,"216,189,700",2021-02-02,3.2600000000000477
585,296.52,301.45,293.59,298.59,298.59,"184,050,000",2021-02-01,2.069999999999993
586,306.92,306.92,295.34,296.52,296.52,"257,851,300",2021-01-29,-10.400000000000034
587,303.22,310.51,303.15,306.92,306.92,"230,503,100",2021-01-28,3.6999999999999886
588,307.5,311.64,298.22,303.22,303.22,"283,150,800",2021-01-27,-4.279999999999973
589,314.17,321.54,307.47,307.5,307.5,"214,492,100",2021-01-26,-6.670000000000016
590,317.54,317.54,308.56,314.17,314.17,"226,909,900",2021-01-25,-3.3700000000000045
591,319.12,319.12,309.71,317.54,317.54,"216,573,800",2021-01-22,-1.579999999999984
592,330.47,330.47,316.2,319.12,319.12,"250,811,800",2021-01-21,-11.350000000000023
593,329.3,332.61,327.31,330.47,330.47,"205,190,000",2021-01-20,1.170000000000016
594,322.58,331.39,322.58,329.3,329.3,"237,455,700",2021-01-19,6.720000000000027
595,336.14,336.14,319.73,322.58,322.58,"286,534,300",2021-01-15,-13.560000000000002
596,326.33,339.85,326.33,336.14,336.14,"270,975,600",2021-01-14,9.810000000000002
597,328.98,329.45,323.89,326.33,326.33,"222,868,100",2021-01-13,-2.650000000000034
598,317.86,330.47,317.86,328.98,328.98,"317,723,300",2021-01-12,11.120000000000005
599,312.78,319.02,304.6,317.86,317.86,"223,647,000",2021-01-11,5.080000000000041
600,313.06,316.9,310.37,312.78,312.78,"221,778,900",2021-01-08,-0.28000000000002956
601,308.45,316.1,308.13,313.06,313.06,"243,836,600",2021-01-07,4.610000000000014
602,308.45,308.45,308.45,308.45,308.45,-,2021-01-06,0.0
603,286.5,307.14,286.5,299.49,299.49,"321,557,900",2021-01-05,12.990000000000009
604,286.14,291.67,283.3,286.5,286.5,"206,634,000",2021-01-04,0.36000000000001364
605,288.48,288.48,284.8,286.14,286.14,"154,425,900",2020-12-31,-2.340000000000032
606,283.93,291.15,283.57,288.48,288.48,"154,258,000",2020-12-30,4.550000000000011
607,285.82,288.53,282.78,283.93,283.93,"154,136,200",2020-12-29,-1.8899999999999864
608,287.38,292.42,285.09,285.82,285.82,"150,176,200",2020-12-28,-1.5600000000000023
609,289.2,289.2,284.95,287.38,287.38,"78,477,000",2020-12-24,-1.8199999999999932
610,283.04,293.23,283.04,289.2,289.2,"184,673,400",2020-12-23,6.159999999999968
611,288.06,288.22,282.8,283.04,283.04,"186,534,700",2020-12-22,-5.019999999999982
612,293.33,293.33,279.67,288.06,288.06,"231,182,500",2020-12-21,-5.269999999999982
613,298.33,299.61,291.33,293.33,293.33,"389,471,000",2020-12-18,-5.0
614,300.04,302.61,296.93,298.33,298.33,"199,467,500",2020-12-17,-1.7100000000000364
615,301.23,303.29,297.9,300.04,300.04,"213,824,000",2020-12-16,-1.1899999999999977
616,295.55,302.74,294.54,301.23,301.23,"227,461,900",2020-12-15,5.680000000000007
617,306.38,310.85,294.71,295.55,295.55,"270,672,700",2020-12-14,-10.829999999999984
618,309.95,309.95,302.24,306.38,306.38,"225,173,200",2020-12-11,-3.569999999999993
619,301.14,313.4,300.36,309.95,309.95,"308,564,400",2020-12-10,8.810000000000002
620,300.19,308.02,297.24,301.14,301.14,"308,181,000",2020-12-09,0.9499999999999886
621,295.55,303.1,292.51,300.19,300.19,"244,448,200",2020-12-08,4.639999999999986
622,302.94,302.94,293.21,295.55,295.55,"241,045,900",2020-12-07,-7.389999999999986
623,287.34,302.96,287.34,302.94,302.94,"307,681,100",2020-12-04,15.600000000000023
624,284.3,290.82,282.74,287.34,287.34,"264,594,600",2020-12-03,3.0399999999999636
625,275.62,288.69,273.78,284.3,284.3,"252,309,600",2020-12-02,8.680000000000007
626,274.42,283.3,274.42,275.62,275.62,"249,170,300",2020-12-01,1.1999999999999886
627,289.99,289.99,273.82,274.42,274.42,"387,771,500",2020-11-30,-15.569999999999993
628,293.66,294.53,288.01,289.99,289.99,"117,756,600",2020-11-27,-3.670000000000016
629,300.95,300.95,292.42,293.66,293.66,"242,466,400",2020-11-25,-7.289999999999964
630,286.18,301.7,286.18,300.95,300.95,"363,418,800",2020-11-24,14.769999999999982
631,267.24,286.58,267.24,286.18,286.18,"303,874,700",2020-11-23,18.939999999999998
632,268.65,269.3,265.56,267.24,267.24,"200,468,100",2020-11-20,-1.4099999999999682
633,264.6,269.29,260.02,268.65,268.65,"233,089,700",2020-11-19,4.0499999999999545
634,272.44,275.69,264.58,264.6,264.6,"295,398,400",2020-11-18,-7.839999999999975
635,271.09,272.62,262.85,272.44,272.44,"253,995,000",2020-11-17,1.3500000000000227
636,254.55,271.47,254.55,271.09,271.09,"313,028,600",2020-11-16,16.539999999999964
637,245.21,255.59,245.21,254.55,254.55,"208,857,100",2020-11-13,9.340000000000003
638,253.82,253.82,243.03,245.21,245.21,"227,959,100",2020-11-12,-8.609999999999985
