DATE,CSCICP03USM665S_NBD19600101
2003-12-01,99.49330
2004-01-01,99.77432
2004-02-01,99.66004
2004-03-01,99.49124
2004-04-01,99.31910
2004-05-01,99.24027
2004-06-01,99.37899
2004-07-01,99.49107
2004-08-01,99.46623
2004-09-01,99.34665
2004-10-01,99.25687
2004-11-01,99.32147
2004-12-01,99.45804
2005-01-01,99.44323
2005-02-01,99.28666
2005-03-01,99.05576
2005-04-01,98.86619
2005-05-01,98.93455
2005-06-01,99.18626
2005-07-01,99.09216
2005-08-01,98.49723
2005-09-01,97.77414
2005-10-01,97.53946
2005-11-01,97.92837
2005-12-01,98.50868
2006-01-01,98.77053
2006-02-01,98.72157
2006-03-01,98.58941
2006-04-01,98.33635
2006-05-01,98.05272
2006-06-01,98.03183
2006-07-01,98.06820
2006-08-01,98.16703
2006-09-01,98.48413
2006-10-01,98.90647
2006-11-01,99.13880
2006-12-01,99.25488
2007-01-01,99.28706
2007-02-01,99.06269
2007-03-01,98.78936
2007-04-01,98.61435
2007-05-01,98.55370
2007-06-01,98.51280
2007-07-01,98.48955
2007-08-01,98.25909
2007-09-01,98.00255
2007-10-01,97.70641
2007-11-01,97.41901
2007-12-01,97.24992
2008-01-01,97.08738
2008-02-01,96.69622
2008-03-01,96.22462
2008-04-01,95.69304
2008-05-01,95.31138
2008-06-01,95.19135
2008-07-01,95.39574
2008-08-01,95.65467
2008-09-01,95.73120
2008-10-01,95.37605
2008-11-01,95.11784
2008-12-01,95.11032
2009-01-01,95.11757
2009-02-01,95.09137
2009-03-01,95.29456
2009-04-01,95.74547
2009-05-01,96.13345
2009-06-01,96.29409
2009-07-01,96.24859
2009-08-01,96.29255
2009-09-01,96.47150
2009-10-01,96.50132
2009-11-01,96.51544
2009-12-01,96.69064
2010-01-01,96.85305
2010-02-01,96.90840
2010-03-01,96.90529
2010-04-01,96.88477
2010-05-01,96.88350
2010-06-01,96.78801
2010-07-01,96.50224
2010-08-01,96.32795
2010-09-01,96.27692
2010-10-01,96.37581
2010-11-01,96.63412
2010-12-01,96.88594
2011-01-01,96.99464
2011-02-01,96.94539
2011-03-01,96.70086
2011-04-01,96.64223
2011-05-01,96.62647
2011-06-01,96.31803
2011-07-01,95.73890
2011-08-01,95.24458
2011-09-01,95.17715
2011-10-01,95.40970
2011-11-01,95.85313
2011-12-01,96.40163
2012-01-01,96.86924
2012-02-01,97.12993
2012-03-01,97.25556
2012-04-01,97.29077
2012-05-01,97.23422
2012-06-01,97.02713
2012-07-01,96.95416
2012-08-01,97.12622
2012-09-01,97.44660
2012-10-01,97.67634
2012-11-01,97.58884
2012-12-01,97.25057
2013-01-01,97.12052
2013-02-01,97.22484
2013-03-01,97.39382
2013-04-01,97.60871
2013-05-01,97.95147
2013-06-01,98.12867
2013-07-01,98.09049
2013-08-01,97.80592
2013-09-01,97.41980
2013-10-01,97.18109
2013-11-01,97.28290
2013-12-01,97.59065
2014-01-01,97.76584
2014-02-01,97.83687
2014-03-01,97.86955
2014-04-01,97.94356
2014-05-01,97.92976
2014-06-01,97.90299
2014-07-01,97.89469
2014-08-01,97.99089
2014-09-01,98.19802
2014-10-01,98.48922
2014-11-01,98.84651
2014-12-01,99.24269
2015-01-01,99.50961
2015-02-01,99.51193
2015-03-01,99.41442
2015-04-01,99.35913
2015-05-01,99.27796
2015-06-01,99.29219
2015-07-01,99.17632
2015-08-01,98.98496
2015-09-01,98.81251
2015-10-01,98.84204
2015-11-01,98.95972
2015-12-01,99.05774
2016-01-01,99.07097
2016-02-01,99.03326
2016-03-01,98.99302
2016-04-01,99.01530
2016-05-01,99.13890
2016-06-01,99.11662
2016-07-01,98.96849
2016-08-01,98.86148
2016-09-01,98.84213
2016-10-01,98.91981
2016-11-01,99.25227
2016-12-01,99.59307
2017-01-01,99.74272
2017-02-01,99.73030
2017-03-01,99.69943
2017-04-01,99.65943
2017-05-01,99.58754
2017-06-01,99.48067
2017-07-01,99.43927
2017-08-01,99.53665
2017-09-01,99.65862
2017-10-01,99.80972
2017-11-01,99.78947
2017-12-01,99.70611
2018-01-01,99.73567
2018-02-01,99.89663
2018-03-01,99.99662
2018-04-01,99.94635
2018-05-01,99.86148
2018-06-01,99.80419
2018-07-01,99.77309
2018-08-01,99.78420
2018-09-01,99.86651
2018-10-01,99.84892
2018-11-01,99.74111
2018-12-01,99.57290
2019-01-01,99.37158
2019-02-01,99.42499
2019-03-01,99.63996
2019-04-01,99.79755
2019-05-01,99.88420
2019-06-01,99.79174
2019-07-01,99.56314
2019-08-01,99.27126
2019-09-01,99.27123
2019-10-01,99.47118
2019-11-01,99.73602
2019-12-01,99.96055
2020-01-01,99.95895
2020-02-01,99.53708
2020-03-01,98.55349
2020-04-01,97.48368
2020-05-01,96.99088
2020-06-01,96.94181
2020-07-01,96.95885
2020-08-01,97.15774
2020-09-01,97.46564
2020-10-01,97.61221
2020-11-01,97.56974
2020-12-01,97.57276
2021-01-01,97.57876
2021-02-01,97.71632
2021-03-01,98.07732
2021-04-01,98.31811
2021-05-01,98.26024
2021-06-01,98.05338
2021-07-01,97.59203
2021-08-01,97.03107
2021-09-01,96.73658
2021-10-01,96.55262
2021-11-01,96.39261
2021-12-01,96.29263
2022-01-01,96.06090
2022-02-01,95.75773
2022-03-01,95.52353
2022-04-01,95.35959
2022-05-01,94.95859
2022-06-01,94.55720
2022-07-01,94.52967
2022-08-01,94.79191
2022-09-01,95.00713
2022-10-01,95.11908
2022-11-01,95.18434
2022-12-01,95.40280
2023-01-01,95.69624
2023-02-01,95.83421
2023-03-01,95.75793
2023-04-01,95.69168
