Date,Price,Open,High,Low,Vol.,Change %
06/26/2018,261.73,261.08,263.57,260.89,,-0.01%
06/25/2018,261.76,257.84,262.23,257.84,,1.65%
06/22/2018,257.51,256.0,258.09,255.42,,0.74%
06/21/2018,255.63,254.72,256.97,254.36,,0.33%
06/20/2018,254.78,254.97,255.43,253.76,,0.00%
06/19/2018,254.78,252.42,255.47,252.39,,1.06%
06/18/2018,252.11,251.11,252.9,250.85,,0.35%
06/15/2018,251.23,249.44,251.42,247.25,,0.69%
06/14/2018,249.52,247.03,250.16,246.57,,1.17%
06/13/2018,246.63,247.45,248.99,245.87,,-0.27%
06/12/2018,247.3,244.21,247.51,244.04,,1.29%
06/11/2018,244.16,245.91,246.35,243.72,,-0.33%
06/08/2018,244.98,245.29,245.86,244.15,,-0.01%
06/07/2018,245.01,243.93,247.44,243.21,,0.43%
06/06/2018,243.95,249.51,249.76,243.53,,-2.13%
06/05/2018,249.25,250.87,251.59,248.6,,-0.65%
06/04/2018,250.88,253.51,254.4,250.64,,-0.85%
06/01/2018,253.02,256.87,256.87,251.88,,-1.54%
05/31/2018,256.98,256.23,258.51,254.81,,0.11%
05/30/2018,256.69,254.44,257.25,253.64,,0.77%
05/29/2018,254.74,253.92,256.4,252.97,,0.04%
05/25/2018,254.63,253.75,255.34,253.51,,0.42%
05/24/2018,253.57,251.58,253.79,251.05,,0.75%
05/23/2018,251.68,249.87,252.06,249.53,,0.90%
05/22/2018,249.44,248.58,250.75,248.37,,0.39%
05/21/2018,248.47,247.6,249.08,246.35,,0.59%
05/18/2018,247.02,247.46,248.57,245.22,,-0.13%
05/17/2018,247.35,249.53,250.1,246.84,,-0.90%
05/16/2018,249.59,251.87,251.98,248.69,,-0.86%
05/15/2018,251.76,252.92,253.38,250.43,,-0.88%
05/14/2018,254.0,255.24,255.7,252.77,,-0.44%
05/11/2018,255.11,254.93,255.65,253.98,,0.20%
05/10/2018,254.59,252.5,254.72,251.95,,1.34%
05/09/2018,251.23,253.24,253.31,250.26,,-0.75%
05/08/2018,253.12,258.75,258.75,252.76,,-2.51%
05/07/2018,259.64,260.94,261.35,259.29,,-0.54%
05/04/2018,261.04,260.03,262.14,260.02,,0.39%
05/03/2018,260.03,259.74,261.07,257.03,,-0.11%
05/02/2018,260.31,260.47,261.48,259.28,,-0.13%
05/01/2018,260.66,261.36,261.69,260.12,,-0.28%
04/30/2018,261.39,262.56,263.31,261.12,,-0.28%
04/27/2018,262.13,259.1,263.1,258.82,,0.96%
04/26/2018,259.64,257.11,259.91,256.16,,1.03%
04/25/2018,256.99,256.22,257.9,255.06,,0.03%
04/24/2018,256.91,256.0,258.47,254.98,,0.65%
04/23/2018,255.26,255.25,256.68,254.28,,0.09%
04/20/2018,255.02,257.43,257.56,254.27,,-0.89%
04/19/2018,257.31,257.2,257.98,255.37,,-0.08%
04/18/2018,257.52,259.06,261.02,257.5,,-0.39%
04/17/2018,258.53,256.06,259.37,255.45,,1.05%
04/16/2018,255.85,253.16,256.02,253.16,,1.38%
04/13/2018,252.37,251.42,253.53,251.32,,0.69%
04/12/2018,250.64,253.92,254.5,250.04,,-1.28%
04/11/2018,253.88,253.83,255.04,253.01,,-0.15%
04/10/2018,254.27,256.26,256.51,253.68,,-0.72%
04/09/2018,256.12,255.96,257.93,255.03,,0.12%
04/06/2018,255.82,257.67,258.53,255.17,,-0.71%
04/05/2018,257.65,255.73,258.41,252.79,,0.79%
04/04/2018,255.63,254.66,256.27,252.96,,0.21%
04/03/2018,255.09,254.13,256.24,253.15,,0.35%
04/02/2018,254.21,256.84,257.81,252.46,,-0.75%
03/29/2018,256.14,255.34,257.39,255.25,,0.52%
03/28/2018,254.82,254.94,256.19,253.23,,-0.09%
03/27/2018,255.04,251.61,257.62,251.02,,1.46%
03/26/2018,251.37,249.45,251.71,249.2,,1.04%
03/23/2018,248.78,252.76,254.61,248.29,,-1.38%
03/22/2018,252.27,251.26,256.43,250.83,,0.43%
03/21/2018,251.18,252.37,254.51,250.53,,-0.40%
03/20/2018,252.18,253.43,254.51,251.63,,-0.46%
03/19/2018,253.34,255.24,255.6,251.89,,-0.75%
03/16/2018,255.25,252.67,255.58,252.57,,1.00%
03/15/2018,252.73,252.9,255.1,251.26,,-0.05%
03/14/2018,252.86,251.2,253.8,250.99,,0.97%
03/13/2018,250.44,250.69,252.01,248.54,,0.21%
03/12/2018,249.92,248.96,250.24,248.65,,0.42%
03/09/2018,248.87,248.27,248.88,246.87,,0.25%
03/08/2018,248.25,246.76,248.7,246.59,,0.69%
03/07/2018,246.54,247.82,248.58,245.55,,-0.73%
03/06/2018,248.35,251.69,251.69,247.88,,-1.36%
03/05/2018,251.78,246.68,252.36,245.88,,1.96%
03/02/2018,246.95,247.45,249.79,244.8,,-0.24%
03/01/2018,247.55,247.88,251.42,246.34,,-0.06%
02/28/2018,247.7,249.92,250.91,247.68,,-0.64%
02/27/2018,249.3,253.73,255.16,249.29,,-1.68%
02/26/2018,253.56,255.14,255.65,252.94,,-0.33%
02/23/2018,254.41,248.01,254.63,248.01,,2.66%
02/22/2018,247.81,247.39,249.73,246.45,,0.46%
02/21/2018,246.68,250.01,251.74,246.63,,-1.32%
02/20/2018,249.97,252.56,253.11,248.73,,-1.26%
02/16/2018,253.15,251.23,253.78,250.3,,0.75%
02/15/2018,251.27,246.35,251.28,246.12,,2.12%
02/14/2018,246.05,247.59,248.29,245.35,,-1.18%
02/13/2018,249.0,247.46,249.87,245.19,,0.37%
02/12/2018,248.09,246.37,249.4,244.51,,0.80%
02/09/2018,246.13,241.46,247.95,241.07,,2.18%
02/08/2018,240.87,243.3,246.31,240.86,,-1.23%
02/07/2018,243.88,244.92,247.84,243.85,,-0.49%
02/06/2018,245.09,245.91,247.19,240.37,,-1.51%
02/05/2018,248.85,253.05,255.41,248.56,,-1.69%
02/02/2018,253.14,253.91,255.52,252.84,,-0.72%
02/01/2018,254.97,259.04,259.66,254.22,,-1.58%
01/31/2018,259.07,256.49,259.26,255.26,,1.10%
01/30/2018,256.25,255.51,257.12,255.51,,0.17%
01/29/2018,255.82,258.28,258.31,255.54,,-1.28%
01/26/2018,259.13,259.32,260.43,256.6,,0.06%
01/25/2018,258.97,255.24,259.16,255.03,,1.53%
01/24/2018,255.07,256.32,256.43,254.68,,-0.59%
01/23/2018,256.58,254.52,258.33,254.28,,0.96%
01/22/2018,254.15,255.3,256.65,253.71,,0.11%
01/19/2018,253.87,254.77,256.08,253.47,,-0.29%
01/18/2018,254.62,256.39,256.39,253.25,,-0.62%
01/17/2018,256.22,255.01,256.88,254.68,,0.64%
01/16/2018,254.58,256.04,256.84,253.2,,-0.26%
01/12/2018,255.25,256.3,257.22,254.52,,-0.55%
01/11/2018,256.67,257.67,258.57,255.84,,-0.36%
01/10/2018,257.59,259.71,259.71,257.12,,-1.12%
01/09/2018,260.52,263.03,263.17,260.1,,-1.00%
01/08/2018,263.15,260.93,263.22,260.6,,0.94%
01/05/2018,260.69,261.55,262.02,259.37,,-0.02%
01/04/2018,260.73,262.31,263.88,260.26,,-0.87%
01/03/2018,263.02,263.73,265.96,262.08,,-0.76%
01/02/2018,265.04,267.59,267.63,264.27,,-0.87%
12/29/2017,267.37,267.97,268.52,267.01,,0.00%
12/28/2017,267.37,266.5,267.45,265.93,,0.47%
12/27/2017,266.11,265.49,266.53,265.44,,0.41%
12/26/2017,265.03,266.75,267.69,264.99,,-0.59%
